v8-version,4,9,385,35,0
code-creation,Builtin,4,0x1af65b19e80,119,"ArrayPop"
code-creation,Builtin,4,0x1af65b19f00,119,"ArrayPush"
code-creation,Builtin,4,0x1af65b19f80,119,"ArrayShift"
code-creation,Builtin,4,0x1af65b1a000,119,"ArraySlice"
code-creation,Builtin,4,0x1af65b1a080,119,"ArraySplice"
code-creation,Builtin,4,0x1af65b1a100,119,"ArrayUnshift"
code-creation,Builtin,4,0x1af65b1a180,124,"ArrayBufferConstructor"
code-creation,Builtin,4,0x1af65b1a200,125,"ArrayBufferConstructor_ConstructStub"
code-creation,Builtin,4,0x1af65b1a280,119,"ArrayBufferIsView"
code-creation,Builtin,4,0x1af65b1a300,119,"DateConstructor"
code-creation,Builtin,4,0x1af65b1a380,125,"DateConstructor_ConstructStub"
code-creation,Builtin,4,0x1af65b1a400,119,"DateNow"
code-creation,Builtin,4,0x1af65b1a480,119,"DateParse"
code-creation,Builtin,4,0x1af65b1a500,119,"DateUTC"
code-creation,Builtin,4,0x1af65b1a580,119,"DatePrototypeSetDate"
code-creation,Builtin,4,0x1af65b1a600,119,"DatePrototypeSetFullYear"
code-creation,Builtin,4,0x1af65b1a680,119,"DatePrototypeSetHours"
code-creation,Builtin,4,0x1af65b1a700,119,"DatePrototypeSetMilliseconds"
code-creation,Builtin,4,0x1af65b1a780,119,"DatePrototypeSetMinutes"
code-creation,Builtin,4,0x1af65b1a800,119,"DatePrototypeSetMonth"
code-creation,Builtin,4,0x1af65b1a880,119,"DatePrototypeSetSeconds"
code-creation,Builtin,4,0x1af65b1a900,119,"DatePrototypeSetTime"
code-creation,Builtin,4,0x1af65b1a980,119,"DatePrototypeSetUTCDate"
code-creation,Builtin,4,0x1af65b1aa00,119,"DatePrototypeSetUTCFullYear"
code-creation,Builtin,4,0x1af65b1aa80,119,"DatePrototypeSetUTCHours"
code-creation,Builtin,4,0x1af65b1ab00,119,"DatePrototypeSetUTCMilliseconds"
code-creation,Builtin,4,0x1af65b1ab80,119,"DatePrototypeSetUTCMinutes"
code-creation,Builtin,4,0x1af65b1ac00,119,"DatePrototypeSetUTCMonth"
code-creation,Builtin,4,0x1af65b1ac80,119,"DatePrototypeSetUTCSeconds"
